Romanized_Text,Human_Annotated_Bengali_Text
scroll kore 20/30 second er video pann nai???,স্ক্রোল করে ২০/৩০ সেকেন্ড এর ভিডিও পান নাই???
o gula Torrent site e paben,ও গুলা টরেন্ট সাইট এ পাবেন
vokkor chokkor post akta korlei approved…. nishchoi ghabla ache,ভক্কর চক্কর পোস্ট একটা করলেই এপ্রুভড.… নিশ্চই  ঘাবলা আছে
ami test koreii code disi…,আমি টেস্ট করেই কোড দিছি…
"eto koster ki ache shakibwap.tk,shakibwap.ml&aiovideodl.ml theke shohojei downlod kora jay","এতো কষ্টের কি আছে সাকিবওয়াপ.টক,সাকিবওয়াপ.মল&এআইওভিডিওড্ল.মল থেকে সহজেই ডাউনলোড করা যায়"
valo,ভালো
"egula ektu besi somoy sapekko,, tai try korina.. amr eto dorjo nai… Kali Nethunter or AircrackNG diye hack kora jai, YouTube and google korle jante parven….","এগুলা একটু বেশী সময় সাপেক্ষ,, তাই ট্রাই করিনা.. আমার এত ধৈর্য নাই... খালি নেটহান্টার অর এয়ারক্র্যাকএনজি দিয়ে হ্যাক করা যায়, ইউটিউব এন্ড গুগল করলে জানতে পারবেন...."
ki komo na,কি কমো না
jana ni,জানা নাই
etto taratari kamne shob gula used hoygelo bujlam na vai,এত্ত তাড়াতাড়ি কেমনে সব গুলা ইউজড হয়গেল বুঝলাম না ভাই
ami easy method ta share korlam,আমি ইজি মেথড টা শেয়ার করলাম
taile bro apni old version use koren.link o oi page e paben.,তাইলে ব্রো আপনি ওল্ড ভার্সন ইউজ করেন।লিঙ্ক ও ওই পেইজ এ পাবেন।
apnar phone e may be support korbe nah custom rom use kore dekhte paren,আপনার ফোন এ মে বি সাপোর্ট করবে না কাস্টম রম ইউজ করে দেখতে পারেন
legend author hoiya emon bokar moto comment korben age vabi nai,লেজেন্ড অথর হইয়া এমন বোকার মত কমেন্ট করবেন আগে ভাবি নাই
Thanks Vaiya,থ্যাংকস ভাইয়া
Amr kasa total,আমার কাছে টোটাল
oita use korini,ওইটা ইউজ করিনি
akhn use kre dkhun more new feature and themes added,এখন ইউজ করে দেখুন মোর নিউ ফিচার অ্যান্ড থিমস এডেড
edit ta joss cilo,এডিট টা জোস ছিল
Ai post ami 3 month age korcilam,এই পোস্ট আমি ৩ মান্থ আগে করছিলাম
eta kono post holo kibhabe setting e dhukte hoi sei niye ekta post koren,এটা কোন পোস্ট হল কিভাবে সেটিং এ ঢুকতে হয় সেই নিয়ে একটা পোস্ট করেন
valo kore trai koren paben..,ভালো করে ট্রাই করেন পাবেন..
valo valo,ভালো ভালো
seriously? kar post,সিরিয়াসলি? কার পোস্ট
last duita comment dhut trickbd te react option nai naile akai 100 ta kore ha ha ditam ar vai post datha parle eidao post koren ki bhabe mobile er screen on korte hoi onek helpfull hoto,লাস্ট দুইটা কমেন্ট ধুত ট্রিকবিডি তে  রিয়েক্ট অপশন নাই নাইলে একাই ১০০ টা করে হা হা দিতাম আর ভাই পোস্ট দাতা পারলে এইডাও পোস্ট করেন কি ভাবে মোবাইল এর স্ক্রীন অন করতে হয় অনেক হেল্পফুল হত
22mb eta,২২এমবি এটা
ata niye 6 month age post ase miya khobor rakhen,এটা নিয়ে ৬ মান্থ আগে পোস্ট আছে  মিয়া খবর রাখেন
amar toh thake na bhi….as you wish…ami clipboard use kori oita onk comfortable. apni use korle korte paren na korle nai…,আমার তো থাকে না ভাই....এজ ইউ উইশ...আমি ক্লিপবোর্ড ইউজ করি ওইটা অনেক কম্ফরটেবল। আপনি  ইউজ করলে করতে পারেন না করলে নাই...
mane ki?,মানে কি?
Osthir post ak kthai osadaron,অস্থির পোস্ট এক কথায় অসাধারন
Sobi batpari keo taka diye proparito hoben na.,সবই বাটপারি কেউ টাকা দিয়ে প্রতারিত হবেন না।
donnobadh,ধন্যবাদ
zip file theke apk pabo kivabe?,জিপ ফাইল থেকে এপিকে পাবো কিভাবে?
zip file ta open korle html formet ar file a code ta ace.,জিপ ফাইল টা ওপেন করলে এইচটিএমএল ফরমেট এর ফাইল এ কোড টা আছে।
Zeebangla hoi na kano?,জীবাংলা হয় না কেন?
Zee6 free use korar ki kono way ase?,জী৬ ফ্রি ইউজ করার কি কোন ওয়ে আছে?
Zee5 free use korar ki kono way ase?,জী৫ ফ্রি ইউজ করার কি কোন ওয়ে  আছে?
Zee Bangla ase? Bashar meyera dekhbe,জী বাংলা আছে? বাসার মেয়েরা দেখবে
